TIME,SEGMENTID,SPEED,averagespeed
12/15/2014,1034,11,17.5
12/16/2014,1034,-1,27.0
02/15/2013,1034,-1,19.333333333333332
11/25/2014,1034,-1,19.0
11/27/2014,1034,-1,
12/10/2014,1034,-1,22.0
12/06/2014,1034,-1,
02/17/2013,1034,-1,
02/11/2013,1034,22,22.0
01/23/2013,1034,-1,22.0
12/19/2014,1034,-1,27.0
02/09/2013,1034,-1,
02/07/2013,1034,-1,
02/19/2013,1034,-1,
12/05/2014,1034,-1,21.0
12/03/2014,1034,10,21.0
02/06/2013,1034,22,18.0
12/21/2014,1034,-1,22.0
12/27/2014,1034,-1,
02/26/2013,1034,-1,7.0
12/02/2014,1034,5,8.5
02/20/2013,1034,-1,
02/25/2013,1034,-1,14.0
12/11/2014,1034,-1,18.0
01/30/2013,1034,-1,18.0
12/29/2014,1034,22,18.333333333333332
02/05/2013,1034,-1,21.5
02/14/2013,1034,-1,12.0
01/15/2013,1034,-1,20.0
02/02/2013,1034,-1,22.0
01/18/2013,1034,-1,
01/22/2013,1034,-1,22.0
12/30/2014,1034,13,18.0
02/01/2013,1034,22,22.0
01/28/2013,1034,-1,12.666666666666666
02/23/2013,1034,-1,
12/07/2014,1034,-1,
02/13/2013,1034,-1,22.0
11/26/2014,1034,-1,25.0
02/16/2013,1034,-1,
01/24/2013,1034,-1,
01/17/2013,1034,-1,
01/21/2013,1034,22,22.0
02/03/2013,1034,-1,
12/09/2014,1034,-1,
12/12/2014,1034,-1,
12/04/2014,1034,29,29.0
02/24/2013,1034,-1,
01/20/2013,1034,22,22.0
01/31/2013,1034,-1,
12/17/2014,1034,-1,
02/08/2013,1034,13,13.0
01/25/2013,1034,12,17.0
12/08/2014,1034,-1,
11/30/2014,1034,-1,
12/13/2014,1034,-1,
02/04/2013,1034,12,10.666666666666666
12/20/2014,1034,-1,22.0
12/14/2014,1034,-1,
12/28/2014,1034,-1,
12/01/2014,1034,-1,
12/26/2014,1034,-1,25.0
01/16/2013,1034,23,20.333333333333332
12/25/2014,1034,-1,
12/24/2014,1034,27,27.0
02/22/2013,1034,-1,22.0
12/23/2014,1034,-1,21.5
02/28/2013,1034,-1,
11/28/2014,1034,25,25.0
01/19/2013,1034,-1,
02/27/2013,1034,-1,22.0
01/26/2013,1034,-1,
02/21/2013,1034,-1,22.0
11/29/2014,1034,-1,
01/27/2013,1034,-1,
02/12/2013,1034,22,22.0
12/18/2014,1034,-1,27.0
02/10/2013,1034,-1,
12/22/2014,1034,-1,13.5
01/29/2013,1034,-1,22.5
02/18/2013,1034,25,23.5
04/27/2018,1034,8,12.0
04/26/2018,1034,-1,
04/25/2018,1034,-1,
04/24/2018,1034,-1,
04/23/2018,1034,-1,
04/22/2018,1034,-1,
04/21/2018,1034,-1,
04/20/2018,1034,-1,
04/19/2018,1034,-1,
04/18/2018,1034,-1,
04/17/2018,1034,-1,
04/16/2018,1034,-1,
04/14/2018,1034,-1,22.0
04/13/2018,1034,-1,
04/12/2018,1034,-1,
04/11/2018,1034,-1,
04/10/2018,1034,-1,
04/09/2018,1034,-1,
04/08/2018,1034,-1,
04/07/2018,1034,-1,
04/06/2018,1034,-1,32.0
04/05/2018,1034,-1,
04/04/2018,1034,-1,
04/03/2018,1034,-1,
04/02/2018,1034,-1,
04/01/2018,1034,-1,
03/31/2018,1034,-1,
03/30/2018,1034,-1,
03/29/2018,1034,-1,
03/28/2018,1034,-1,
03/27/2018,1034,-1,
03/26/2018,1034,-1,24.5
03/25/2018,1034,-1,
03/24/2018,1034,-1,
03/23/2018,1034,-1,
03/22/2018,1034,-1,
03/21/2018,1034,-1,
03/20/2018,1034,-1,
03/19/2018,1034,-1,
03/18/2018,1034,-1,
03/17/2018,1034,-1,
03/16/2018,1034,-1,
03/15/2018,1034,-1,
03/14/2018,1034,29,25.5
03/13/2018,1034,-1,
05/03/2018,1034,-1,
05/02/2018,1034,-1,
05/01/2018,1034,-1,
04/30/2018,1034,-1,
04/29/2018,1034,-1,
04/28/2018,1034,-1,
