TIME,SEGMENTID,SPEED,averagespeed
12/04/2014,1036,19,19.0
12/06/2014,1036,-1,
12/21/2014,1036,-1,
01/26/2013,1036,-1,
02/15/2013,1036,-1,16.5
02/24/2013,1036,-1,
12/17/2014,1036,-1,19.0
12/19/2014,1036,-1,
02/17/2013,1036,-1,
02/16/2013,1036,-1,
12/03/2014,1036,-1,24.0
02/19/2013,1036,18,18.666666666666668
02/03/2013,1036,-1,
12/14/2014,1036,-1,
02/06/2013,1036,19,19.0
12/22/2014,1036,19,19.0
02/28/2013,1036,-1,19.0
12/26/2014,1036,-1,
11/29/2014,1036,-1,
02/11/2013,1036,-1,19.0
02/23/2013,1036,-1,
11/25/2014,1036,19,19.0
02/13/2013,1036,-1,19.0
11/26/2014,1036,19,19.0
01/20/2013,1036,-1,
12/02/2014,1036,-1,19.0
01/22/2013,1036,-1,19.0
02/21/2013,1036,19,19.0
12/18/2014,1036,-1,19.0
12/25/2014,1036,-1,
02/08/2013,1036,-1,17.5
02/10/2013,1036,-1,
12/10/2014,1036,-1,19.0
12/13/2014,1036,-1,
12/15/2014,1036,-1,19.0
02/18/2013,1036,-1,18.5
02/20/2013,1036,-1,19.0
01/27/2013,1036,-1,
12/28/2014,1036,-1,
01/24/2013,1036,-1,17.0
02/12/2013,1036,19,19.0
01/18/2013,1036,19,18.0
12/30/2014,1036,-1,23.0
12/01/2014,1036,-1,
01/30/2013,1036,-1,19.0
12/27/2014,1036,-1,19.0
12/24/2014,1036,-1,
02/14/2013,1036,-1,19.5
12/16/2014,1036,-1,19.0
01/25/2013,1036,19,19.0
11/27/2014,1036,-1,
02/07/2013,1036,-1,
01/16/2013,1036,19,19.0
12/11/2014,1036,19,21.5
02/04/2013,1036,19,18.0
02/22/2013,1036,11,14.666666666666666
01/28/2013,1036,14,16.5
01/29/2013,1036,19,19.0
01/21/2013,1036,19,19.0
12/08/2014,1036,-1,19.0
02/26/2013,1036,-1,19.0
12/09/2014,1036,12,17.25
01/31/2013,1036,13,11.5
12/12/2014,1036,-1,17.0
02/27/2013,1036,-1,19.0
12/23/2014,1036,-1,19.0
02/01/2013,1036,-1,19.0
02/09/2013,1036,-1,
12/07/2014,1036,-1,
12/05/2014,1036,-1,
01/19/2013,1036,13,16.0
02/02/2013,1036,-1,
02/25/2013,1036,-1,19.0
01/23/2013,1036,19,19.0
01/17/2013,1036,-1,19.0
11/28/2014,1036,19,19.0
12/29/2014,1036,11,17.0
11/30/2014,1036,-1,
12/20/2014,1036,-1,
01/15/2013,1036,-1,19.0
02/05/2013,1036,14,16.5
04/27/2018,1036,19,20.4
04/26/2018,1036,-1,
04/25/2018,1036,-1,
04/24/2018,1036,-1,
04/23/2018,1036,-1,
04/22/2018,1036,-1,
04/21/2018,1036,-1,
04/20/2018,1036,-1,
04/19/2018,1036,-1,0.0
04/18/2018,1036,-1,
04/17/2018,1036,-1,
04/16/2018,1036,-1,
04/14/2018,1036,-1,19.0
04/13/2018,1036,-1,
04/12/2018,1036,-1,
04/11/2018,1036,-1,
04/10/2018,1036,-1,
04/09/2018,1036,-1,
04/08/2018,1036,-1,
04/07/2018,1036,-1,
04/06/2018,1036,-1,
04/05/2018,1036,-1,
04/04/2018,1036,-1,
04/03/2018,1036,-1,
04/02/2018,1036,-1,
04/01/2018,1036,-1,
03/31/2018,1036,-1,
03/30/2018,1036,-1,
03/29/2018,1036,-1,
03/28/2018,1036,19,19.0
03/27/2018,1036,27,27.0
03/26/2018,1036,-1,19.0
03/25/2018,1036,-1,
03/24/2018,1036,-1,
03/23/2018,1036,-1,
03/22/2018,1036,-1,
03/21/2018,1036,-1,
03/20/2018,1036,-1,
03/19/2018,1036,-1,
03/18/2018,1036,-1,
03/17/2018,1036,-1,
03/16/2018,1036,-1,
03/15/2018,1036,-1,
03/14/2018,1036,-1,19.0
03/13/2018,1036,-1,
05/03/2018,1036,-1,
05/02/2018,1036,-1,
05/01/2018,1036,-1,
04/30/2018,1036,-1,
04/29/2018,1036,-1,
04/28/2018,1036,-1,
