Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/13/2012 00:00,Tue,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/14/2012 00:00,Wed,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/15/2012 00:00,Thu,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/16/2012 00:00,Fri,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/17/2012 00:00,Sat,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/18/2012 00:00,Sun,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/19/2012 00:00,Mon,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/20/2012 00:00,Tue,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/21/2012 00:00,Wed,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/22/2012 00:00,Thu,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/23/2012 00:00,Fri,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/24/2012 00:00,Sat,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/25/2012 00:00,Sun,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/26/2012 00:00,Mon,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/27/2012 00:00,Tue,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/28/2012 00:00,Wed,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/29/2012 00:00,Thu,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,11/30/2012 00:00,Fri,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,12/01/2012 0:00,Sat,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,12/02/2012 0:00,Sun,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,12/03/2012 0:00,Mon,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,12/04/2012 0:00,Tue,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,12/05/2012 0:00,Wed,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,12/06/2012 0:00,Thu,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,12/07/2012 0:00,Fri,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,12/08/2012 0:00,Sat,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,12/09/2012 0:00,Sun,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,12/10/2012 0:00,Mon,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
Heavy,0,41.898396-87.62307241.89839-87.62363941.89839-87.62407941.89803-87.62407941.896499-87.62426941.889819-87.62409941.888299-87.6245141.888299-87.6249441.888299-87.6252941.88706-87.6267141.88696-87.62724941.88697-87.62797941.886968-87.62814941.88695-87.6353941.886029-87.636841.88574-87.63698941.885599-87.63698941.88449-87.63706941.88449-87.63715941.88441-87.64743941.884275-87.6523,12/11/2012 0:00,Tue,"Depart E Chestnut St toward N Michigan Ave, Turn left onto N Michigan Ave, Turn right onto E Wacker Dr, Keep straight onto W Wacker Dr, Bear left onto N Wacker Dr, Turn right onto W Randolph St, Arrive at W Randolph St"
